Freq,PN
0.1,-41.0200769759
0.1015468992,-41.0200769759
0.1031177275,-41.0200769759
0.1047128548,-41.0200769759
0.1063326572,-41.0200769759
0.1079775162,-41.0200769759
0.1096478196,-41.0200769759
0.1113439609,-41.0200769759
0.1130663398,-41.0200769759
0.1148153621,-41.1759779448
0.1165914401,-41.3318789137
0.1183949922,-41.4877798827
0.1202264435,-41.6436808516
0.1220862254,-41.7995818206
0.1239747763,-41.9554827895
0.1258925412,-42.1113837584
0.1278399719,-42.2672847274
0.1298175275,-42.7047584999
0.1318256739,-43.1422322725
0.1338648842,-43.579706045
0.1359356391,-43.8612788486
0.1380384265,-44.1428516522
0.1401737418,-44.4244244558
0.1423420884,-44.7059972595
0.1445439771,-45.3664086214
0.1467799268,-46.0268199833
0.1490504643,-46.6872313453
0.1513561248,-47.3476427072
0.1536974516,-47.7264812655
0.1560749963,-48.1053198238
0.1584893192,-48.5791499651
0.1609409893,-49.0529801064
0.1634305843,-49.5268102477
0.1659586907,-50.000640389
0.1685259045,-50.4744705303
0.1711328304,-50.4347455908
0.1737800829,-50.3950206514
0.1764682857,-50.3552957119
0.1791980722,-50.3155707725
0.1819700859,-50.275845833
0.1847849797,-50.2361208936
0.1876434172,-50.1292112956
0.1905460718,-50.0223016975
0.1934936275,-49.9153920995
0.196486779,-49.8084825015
0.1995262315,-49.7393035503
0.2026127013,-49.8048411216
0.2057469156,-49.8703786929
0.2089296131,-49.9359162641
0.2121615437,-50.0014538354
0.215443469,-50.2114531049
0.2187761624,-50.4214523745
0.2221604092,-50.6036447196
0.2255970069,-50.7858370648
0.2290867653,-51.3064708776
0.2326305067,-51.8271046905
0.2362290663,-52.3100078565
0.2398832919,-52.7929110225
0.2435940447,-53.3902773482
0.2473621992,-53.9876436739
0.2511886432,-54.5850099996
0.2550742784,-55.037914627
0.2590200205,-55.2397772471
0.2630267992,-55.4416398672
0.2670955588,-55.6435024872
0.2712272579,-55.4958612159
0.2754228703,-55.3482199446
0.2796833846,-55.2005786733
0.2840098048,-55.052937402
0.2884031503,-55.0488243251
0.2928644565,-55.0447112482
0.2973947745,-55.0405981713
0.301995172,-55.2510181337
0.3066667331,-55.7124801035
0.3114105584,-56.1739420733
0.316227766,-56.6104268581
0.3211194909,-57.0579740665
0.3260868859,-57.505521275
0.3311311215,-57.9118826079
0.3362533863,-58.3182439409
0.3414548874,-58.4666139197
0.3467368505,-58.7677898834
0.3521005202,-59.0689658471
0.3575471605,-59.2575794322
0.3630780548,-59.4461930172
0.3686945065,-59.6348066023
0.374397839,-59.876955065
0.3801893963,-60.1191035277
0.3860705432,-60.5671303369
0.3920426655,-61.0563430216
0.3981071706,-61.5455557063
0.4042654874,-61.9562640577
0.4105190671,-62.2141664242
0.4168693835,-62.4523524865
0.4233179328,-62.5885678881
0.4298662347,-62.882179701
0.4365158322,-63.1757915139
0.4432682923,-63.3632348066
0.4501252062,-63.5506780994
0.4570881896,-63.3995961723
0.4641588834,-63.2485142451
0.4713389536,-63.3417284246
0.4786300923,-63.5134469373
0.4860340176,-63.9645561608
0.4935524741,-64.4353816885
0.5011872336,-65.0002791031
0.5089400952,-65.4077801064
0.5168128856,-65.4641960493
0.5248074602,-65.5982228196
0.5329257029,-65.7384305396
0.5411695265,-66.0112851331
0.5495408739,-66.6667308699
0.5580417175,-67.1252766712
0.5666740606,-67.5838224725
0.5754399373,-67.86557478
0.5843414134,-68.0677234793
0.5933805863,-68.1758002918
0.6025595861,-68.111734382
0.6118805758,-68.3987535327
0.6213457517,-68.6561054285
0.6309573445,-68.989531801
0.6407176189,-69.3229581735
0.6506288749,-69.4667791081
0.660693448,-69.4421700136
0.67091371,-69.2041977316
0.6812920691,-68.8636282327
0.6918309709,-68.6256198958
0.702532899,-68.5079589293
0.7134003751,-68.328213287
0.7244359601,-68.1484676448
0.7356422545,-67.9712269752
0.7470218989,-67.9734721897
0.758577575,-68.1103106607
0.7703120058,-68.2020288567
0.7822279564,-68.4147809107
0.7943282347,-68.78413438
0.8066156922,-68.9831020513
0.8190932242,-69.0423611403
0.8317637711,-69.0488326799
0.8446303186,-69.684687113
0.8576958986,-70.5736696591
0.87096359,-71.2333473399
0.8844365191,-71.4901436179
0.898117861,-71.8628728542
0.9120108394,-72.2842876926
0.9261187281,-72.2561111184
0.9404448517,-72.2846963166
0.954992586,-72.4836673127
0.9697653591,-72.773618733
0.9847666521,-72.9960103323
1,-72.8232464361
1.0154689924,-72.3973544269
1.0311772746,-72.2964881072
1.0471285481,-72.3367618798
1.0633265716,-72.1265094376
1.0797751623,-71.7197059628
1.0964781961,-71.8787181051
1.1134396091,-72.0377302474
1.1306633979,-72.1967423898
1.1481536215,-72.5050546148
1.1659144012,-72.8133668398
1.1839499222,-73.1216790648
1.2022644346,-73.5048723517
1.2208622541,-73.8195070967
1.239747763,-74.1341418418
1.2589254118,-74.5279947635
1.2783997195,-74.9218476852
1.298175275,-75.1994764022
1.3182567386,-75.4847788526
1.3386488421,-75.770081303
1.3593563909,-75.9318542751
1.3803842646,-76.1663249411
1.4017374183,-76.4007956072
1.4234208839,-76.5603852113
1.4454397707,-76.7877179738
1.4677992676,-77.0150507362
1.4905046434,-77.0873768488
1.5135612484,-77.1597029614
1.5369745159,-77.232029074
1.5607499631,-77.2286388394
1.5848931925,-77.2252486048
1.6094098933,-77.2880143935
1.6343058427,-77.2780824882
1.6595869074,-77.3873775888
1.6852590448,-77.4966726894
1.7113283042,-77.6034566253
1.7378008287,-77.7102405612
1.7646828566,-77.8928129702
1.7919807224,-78.0356266306
1.8197008586,-78.178440291
1.8478497974,-78.3877453192
1.876434172,-78.5970503473
1.905460718,-78.7809222488
1.9349362754,-78.9647941502
1.96486779,-79.1133992589
1.995262315,-79.3457117318
2.0261270126,-79.512792211
2.057469156,-79.7696492804
2.0892961309,-80.0265063497
2.1216154369,-80.2935955652
2.15443469,-80.5606847807
2.1877616239,-80.8781780582
2.221604092,-81.1956713356
2.2559700688,-81.6143863566
2.2908676528,-82.0786185114
2.3263050672,-82.4588904531
2.3622906626,-82.7220020371
2.398832919,-82.9777646685
2.4359404473,-83.1437507099
2.4736219916,-83.3398044267
2.5118864315,-83.6104638116
2.5507427837,-83.8811231966
2.5902002045,-84.1427397365
2.6302679919,-84.4598695534
2.6709555876,-84.6350547302
2.7122725793,-84.7425015672
2.7542287033,-84.8760438743
2.7968338463,-85.0700219156
2.8400980479,-85.2713489096
2.8840315031,-85.4686347552
2.9286445646,-85.7103329911
2.9739477452,-85.9958957195
3.0199517204,-86.2704387656
3.0666673307,-86.5051718408
3.1141055844,-86.6806234098
3.1622776602,-86.8446762763
3.2111949094,-87.0592777816
3.2608688591,-87.236832856
3.3113112148,-87.4349020211
3.362533863,-87.7405713724
3.4145488738,-88.0502818721
3.4673685045,-88.4045396674
3.5210052017,-88.6514286712
3.5754716045,-88.8279039879
3.6307805477,-89.0164688523
3.6869450645,-89.2764770811
3.7439783898,-89.5719559445
3.8018939632,-89.8261899005
3.8607054322,-90.0839366721
3.9204266553,-90.3181778015
3.9810717055,-90.47135322
4.0426548736,-90.6436687609
4.1051906713,-90.8089865349
4.1686938347,-91.048764977
4.2331793281,-91.3604047616
4.2986623471,-91.6488095249
4.3651583224,-91.8963173222
4.4326829235,-92.1182317504
4.5012520621,-92.3798588874
4.5708818961,-92.7211081304
4.6415888336,-93.0182273718
4.7133895362,-93.2666917406
4.7863009232,-93.5107119456
4.860340176,-93.6739185129
4.9355247414,-93.8151941504
5.0118723363,-94.0750860171
5.0894009515,-94.3048885617
5.1681288563,-94.5544894225
5.2480746025,-94.9092880353
5.3292570288,-95.2823289652
5.4116952655,-95.5120023763
5.4954087386,-95.8188506111
5.5804171748,-96.2168996868
5.6667406058,-96.6976483246
5.7543993734,-97.0565934831
5.8434141337,-97.4042309547
5.9338058628,-97.5924261529
6.0255958607,-97.8100323319
6.1188057575,-98.0553931943
6.2134575175,-98.2700888929
6.3095734448,-98.4726342713
6.4071761887,-98.7438263674
6.5062887487,-99.0406510174
6.6069344801,-99.2933306126
6.7091370996,-99.397169085
6.8129206906,-99.7169904918
6.9183097092,-100.0205738851
7.0253289897,-100.5323215561
7.1340037507,-100.9550521086
7.2443596007,-101.2567942073
7.3564225446,-101.4710482132
7.4702189893,-101.8308746798
7.5857757503,-102.0269148699
7.703120058,-102.2804404734
7.8222795639,-102.6144620896
7.9432823472,-103.0968933187
8.0661569218,-103.2547729371
8.1909322422,-103.4797383401
8.317637711,-103.5453975072
8.4463031858,-103.74272158
8.5769589859,-104.043015707
8.7096358996,-104.3266191602
8.8443651914,-104.5442809958
8.9811786096,-104.8957065032
9.1201083936,-105.162351142
9.2611872813,-105.328874337
9.4044485173,-105.4500167035
9.5499258602,-105.770315269
9.6976535911,-106.0516180536
9.8476665211,-106.3641842426
10,-106.6459264594
10.1546899243,-106.9193423929
10.3117727459,-107.2631808966
10.4712854805,-107.4945013255
10.6332657164,-107.7559534967
10.7977516233,-107.9598675532
10.9647819614,-108.1833832225
11.1343960906,-108.3553157095
11.3066339795,-108.5631599412
11.481536215,-108.8180332487
11.6591440118,-109.1332824789
11.8394992223,-109.448531709
12.0226443462,-109.7630950939
12.2086225406,-110.0817924028
12.3974776303,-110.4235975321
12.5892541179,-110.7371844088
12.7839971946,-111.076488041
12.9817527505,-111.3908801025
13.1825673856,-111.7682831613
13.3864884207,-112.1050261998
13.5935639088,-112.3377057482
13.803842646,-112.5154797881
14.0173741835,-112.7073296139
14.2342088386,-112.8335960886
14.4543977075,-112.9447768794
14.6779926762,-113.1083244775
14.9050464339,-113.3433807817
15.1356124844,-113.5777124265
15.3697451594,-113.8095579641
15.6074996309,-113.9902628024
15.8489319246,-114.2238555886
16.0940989326,-114.548766307
16.3430584272,-114.8196452577
16.5958690744,-115.0397721302
16.8525904475,-115.3207291129
17.1132830416,-115.7048612582
17.3780082875,-116.0199838956
17.6468285662,-116.3294778657
17.9198072238,-116.6524983665
18.1970085861,-116.9367200564
18.4784979742,-117.2142095055
18.7643417196,-117.4037452219
19.0546071796,-117.53151388
19.3493627539,-117.7510739611
19.6486778999,-118.0484878499
19.9526231497,-118.3149580661
20.2612701262,-118.4632313532
20.5746915605,-118.5662831355
20.8929613085,-118.6390255213
21.2161543689,-118.746542442
21.5443469003,-118.923779822
21.8776162395,-119.1117205851
22.2160409196,-119.4067751104
22.5597006884,-119.6749631657
22.9086765277,-119.8842778141
23.2630506715,-120.0816147879
23.6229066263,-120.3150116003
23.9883291902,-120.5154608333
24.3594044729,-120.7766305333
24.7362199164,-121.08175111
25.1188643151,-121.305470883
25.5074278371,-121.4762741082
25.9020020453,-121.6357024841
26.302679919,-121.737952501
26.7095558756,-121.8539875925
27.1227257933,-122.0522595905
27.5422870334,-122.264002869
27.9683384631,-122.4593308275
28.4009804791,-122.6965836196
28.8403150313,-122.8850481774
29.2864456463,-122.9212772244
29.7394774523,-123.1738770023
30.199517204,-123.4423489155
30.6666733071,-123.7256678993
31.1410558445,-123.9783411553
31.6227766017,-124.2915703853
32.1119490936,-124.54747474
32.6086885912,-124.7584843618
33.1131121483,-124.9468313033
33.6253386295,-124.9245658854
34.1454887383,-124.8729400939
34.6736850453,-125.2615450005
35.2100520168,-125.4113155098
35.7547160451,-125.5209535679
36.307805477,-125.631272289
36.8694506452,-125.8556380059
37.4397838982,-125.9888751183
38.0189396321,-126.1183302816
38.6070543215,-126.2756553647
39.2042665527,-126.4579114647
39.8107170553,-126.839399103
40.4265487362,-127.2446418233
41.0519067127,-127.3103528537
41.686938347,-127.445690184
42.3317932809,-127.6595791087
42.9866234708,-127.874031874
43.651583224,-127.9726932159
44.3268292346,-128.1574110699
45.0125206206,-128.185038855
45.7088189615,-128.2297141336
46.4158883361,-128.327875383
47.1338953616,-128.3990252312
47.8630092323,-128.5340607838
48.6034017599,-128.7190271166
49.3552474139,-128.7970454282
50.1187233627,-128.7988871993
50.8940095152,-128.8585526539
51.6812885633,-129.0961266736
52.480746025,-129.1702613182
53.2925702881,-129.3607161172
54.1169526546,-129.5584226287
54.9540873858,-129.7096525792
55.8041717477,-129.7047796987
56.6674060582,-129.8324855896
57.5439937337,-129.9619526928
58.4341413374,-130.0963526958
59.3380586275,-130.273332086
60.2559586074,-130.4550278829
61.1880575752,-130.5342481003
62.1345751748,-130.6592461189
63.095734448,-130.7806236325
64.0717618868,-130.8893999922
65.0628874866,-131.0177606722
66.0693448008,-131.2927937685
67.0913709955,-131.4075342601
68.1292069058,-131.466874293
69.1830970919,-131.6432119045
70.2532898973,-131.9690421336
71.3400375071,-132.1401038989
72.4435960075,-132.2254049135
73.564225446,-132.3690656421
74.7021898927,-132.4986733042
75.8577575029,-132.557125972
77.0312005797,-132.664036666
78.2227956386,-132.8096509045
79.4328234724,-132.9412955902
80.6615692177,-133.0687177578
81.9093224215,-133.2019461604
83.1763771103,-133.0963695326
84.4630318584,-133.061286245
85.7695898591,-133.1937779303
87.0963589956,-133.2431530219
88.4436519139,-133.2916895018
89.8117860961,-133.4695674827
91.2010839356,-133.6240031469
92.6118728129,-133.6583708638
94.0444851726,-133.7081100803
95.4992586021,-133.7700098227
96.9765359108,-133.7741910989
98.476665211,-133.9104089085
100,-134.0478035867
101.5468992433,-134.0722788019
103.1177274593,-134.1860783419
104.7128548051,-134.3182208794
106.3326571637,-134.3788181307
107.9775162328,-134.3750148138
109.6478196143,-134.4729921672
111.3439609062,-134.5680691766
113.066339795,-134.6898936696
114.8153621497,-134.8117579498
116.591440118,-134.8211131984
118.3949922229,-134.693226528
120.2264434617,-134.5857051761
122.0862254059,-134.6226236567
123.9747763029,-134.7288635292
125.8925411794,-134.8137305036
127.8399719463,-134.8920187794
129.817527505,-134.9933046696
131.8256738556,-135.099801262
133.864884207,-135.1827361043
135.9356390879,-135.244911956
138.0384264603,-135.2067780825
140.1737418347,-135.4392153903
142.3420883864,-135.6398896275
144.5439770746,-135.6915877707
146.7799267622,-135.6046141482
149.0504643386,-135.6085663515
151.3561248436,-135.6705945251
153.6974515935,-135.7111337166
156.0749963092,-135.767182492
158.4893192461,-135.8354319992
160.9409893263,-135.942881635
163.4305842723,-136.2459461595
165.9586907438,-136.4245846823
168.5259044751,-136.6101868181
171.1328304162,-136.798674187
173.7800828749,-137.001715983
176.468285662,-137.0534450868
179.1980722375,-137.2198035926
181.970085861,-137.386801869
184.7849797422,-137.4249333433
187.6434171956,-137.4376693632
190.5460717963,-137.5752207797
193.4936275391,-137.6434833123
196.4867789993,-137.7142638075
199.5262314969,-137.8064404641
202.6127012621,-137.7898651288
205.7469156048,-137.7513625919
208.9296130854,-137.9500040759
212.1615436893,-137.9822392471
215.4434690032,-138.0178029866
218.776162395,-138.1965550707
222.1604091956,-138.3944076407
225.5970068844,-138.4337259918
229.0867652768,-138.5485371578
232.6305067154,-138.597073287
236.2290662634,-138.5601008499
239.8832919019,-138.722101834
243.5940447292,-138.981693984
247.3621991639,-139.1294884739
251.188643151,-139.2138893728
255.0742783711,-139.2783936651
259.0200204531,-139.3255892736
263.0267991895,-139.2378596777
267.0955587559,-139.3053770294
271.2272579332,-139.3206713637
275.4228703338,-139.4569146957
279.6833846309,-139.6063946738
284.0098047914,-139.7312396942
288.4031503127,-139.762125161
292.8644564625,-139.6950062665
297.3947745235,-139.7691498964
301.9951720402,-139.8731766908
306.6667330713,-139.9601763075
311.4105584447,-140.1663019252
316.2277660168,-140.2931561899
321.1194909365,-140.3693818901
326.0868859119,-140.4100631074
331.1311214826,-140.4973122049
336.2533862952,-140.5713133845
341.4548873834,-140.7021721142
346.7368504525,-140.8921113386
352.1005201685,-140.9224099034
357.5471604506,-140.9842903899
363.0780547701,-141.0488633028
368.694506452,-141.1661684055
374.3978389824,-141.2315647973
380.1893963206,-141.3186212997
386.0705432154,-141.3956318287
392.042665527,-141.4843407558
398.1071705535,-141.5223188595
404.2654873623,-141.589287937
410.5190671273,-141.6455431956
416.8693834703,-141.7422376376
423.3179328088,-141.8122789843
429.8662347082,-141.8577236032
436.5158322402,-141.870660477
443.268292346,-141.8816181855
450.1252062061,-141.9467600158
457.0881896149,-142.0163390041
464.1588833613,-142.0562006436
471.3389536157,-142.1074724968
478.6300923226,-142.1697891991
486.034017599,-142.2401244203
493.5524741395,-142.3089750517
501.1872336273,-142.3686243519
508.9400951518,-142.471374525
516.8128856326,-142.5605013057
524.8074602498,-142.6373372084
532.9257028812,-142.7020054424
541.1695265465,-142.7632803328
549.5408738576,-142.8499609394
558.041717477,-142.9522321635
566.674060582,-142.9986136772
575.4399373372,-143.0552224418
584.3414133735,-143.0659231295
593.3805862753,-143.1585376784
